"","date","F.Close","GE.Close","MSFT.Close"
"57",2017-03-24,11.62,29.719999,64.980003
"58",2017-03-27,11.46,29.440001,65.099998
"59",2017-03-28,11.65,29.620001,65.290001
"60",2017-03-29,11.68,29.68,65.470001
"61",2017-03-30,11.68,29.870001,65.709999
"62",2017-03-31,11.64,29.799999,65.860001
"63",2017-04-03,11.44,29.879999,65.550003
"64",2017-04-04,11.37,30.02,65.730003
"65",2017-04-05,11.26,29.969999,65.559998
"66",2017-04-06,11.27,29.93,65.730003
"67",2017-04-07,11.23,29.99,65.68
"68",2017-04-10,11.25,30.01,65.529999
"69",2017-04-11,11.28,30.040001,65.480003
"70",2017-04-12,11.23,29.77,65.230003
"71",2017-04-13,11.11,29.559999,64.949997
"72",2017-04-17,11.28,29.639999,65.480003
"73",2017-04-18,11.14,29.84,65.389999
"74",2017-04-19,11.19,30,65.040001
"75",2017-04-20,11.47,30.27,65.5
"76",2017-04-21,11.34,29.549999,66.400002
"77",2017-04-24,11.43,29.549999,67.529999
"78",2017-04-25,11.48,29.450001,67.919998
"79",2017-04-26,11.6,29.26,67.830002
"80",2017-04-27,11.47,29.08,68.269997
"81",2017-04-28,11.47,28.99,68.459999
"82",2017-05-01,11.42,28.940001,69.410004
"83",2017-05-02,10.92,28.99,69.300003
"84",2017-05-03,11.07,29.23,69.080002
"85",2017-05-04,11,29.200001,68.809998
"86",2017-05-05,11.14,29.219999,69
"87",2017-05-08,11.13,29.07,68.940002
"88",2017-05-09,11.16,28.93,69.040001
"89",2017-05-10,11.04,28.700001,69.309998
"90",2017-05-11,11.01,28.870001,68.459999
"91",2017-05-12,10.92,28.27,68.379997
"92",2017-05-15,10.94,28.18,68.43
"93",2017-05-16,10.94,28.040001,69.410004
"94",2017-05-17,10.76,27.41,67.480003
"95",2017-05-18,10.79,27.48,67.709999
"96",2017-05-19,10.87,28.049999,67.690002
"97",2017-05-22,11.1,28.18,68.449997
"98",2017-05-23,11.05,28.280001,68.68
"99",2017-05-24,10.96,27.83,68.769997
"100",2017-05-25,10.86,27.49,69.620003
"101",2017-05-26,10.93,27.450001,69.959999
"102",2017-05-30,11.08,27.360001,70.410004
"103",2017-05-31,11.12,27.379999,69.839996
"104",2017-06-01,11.41,27.719999,70.099998
"105",2017-06-02,11.35,27.879999,71.760002
"106",2017-06-05,11.25,27.98,72.279999
"107",2017-06-06,11.12,27.93,72.519997
"108",2017-06-07,11.07,27.68,72.389999
"109",2017-06-08,11.1,27.59,71.949997
"110",2017-06-09,11.13,27.940001,70.32
"111",2017-06-12,11.28,28.940001,69.779999
"112",2017-06-13,11.27,28.450001,70.650002
"113",2017-06-14,11.22,28.690001,70.269997
"114",2017-06-15,11.24,28.940001,69.900002
"115",2017-06-16,11.22,29,70
"116",2017-06-19,11.24,28.799999,70.870003
"117",2017-06-20,11.12,28.129999,69.910004
"118",2017-06-21,11.04,27.780001,70.269997
"119",2017-06-22,11.13,27.549999,70.260002
"120",2017-06-23,11.04,27.57,71.209999
"121",2017-06-26,11.18,27.610001,70.529999
"122",2017-06-27,11.08,27.209999,69.209999
"123",2017-06-28,11.09,27.08,69.800003
"124",2017-06-29,11.17,27.02,68.489998
"125",2017-06-30,11.19,27.01,68.93
"126",2017-07-03,11.56,27.450001,68.169998
"127",2017-07-05,11.3,27.35,69.080002
"128",2017-07-06,11.18,26.309999,68.57
"129",2017-07-07,11.26,26.15,69.459999
"130",2017-07-10,11.34,26.040001,69.980003
"131",2017-07-11,11.38,26.379999,69.989998
"132",2017-07-12,11.47,26.58,71.150002
"133",2017-07-13,11.6,26.790001,71.769997
"134",2017-07-14,11.68,26.780001,72.779999
"135",2017-07-17,11.74,26.82,73.349998
"136",2017-07-18,11.75,26.889999,73.300003
"137",2017-07-19,11.83,26.940001,73.860001
"138",2017-07-20,11.7,26.690001,74.220001
"139",2017-07-21,11.53,25.91,73.790001
"140",2017-07-24,11.29,25.43,73.599998
"141",2017-07-25,11.27,25.440001,74.190002
"142",2017-07-26,11.06,25.59,74.050003
"143",2017-07-27,11.18,25.790001,73.160004
"144",2017-07-28,11.17,25.530001,73.040001
"145",2017-07-31,11.22,25.610001,72.699997
"146",2017-08-01,10.95,25.440001,72.580002
"147",2017-08-02,11,25.52,72.260002
"148",2017-08-03,10.93,25.76,72.150002
"149",2017-08-04,10.95,25.780001,72.68
"150",2017-08-07,10.92,25.629999,72.400002
"151",2017-08-08,10.89,25.559999,72.790001
"152",2017-08-09,10.92,25.709999,72.470001
"153",2017-08-10,10.77,25.299999,71.410004
"154",2017-08-11,10.77,25.200001,72.5
"155",2017-08-14,10.91,25.360001,73.589996
"156",2017-08-15,10.84,25.139999,73.220001
"157",2017-08-16,10.8,25.1,73.650002
"158",2017-08-17,10.64,24.75,72.400002
"159",2017-08-18,10.56,24.549999,72.489998
"160",2017-08-21,10.57,24.49,72.150002
"161",2017-08-22,10.65,24.6,73.160004
"162",2017-08-23,10.71,24.389999,72.720001
"163",2017-08-24,10.71,24.299999,72.690002
